Name_x,Total_Season_Distance,Total_Player_Load,Total_Contacts,Total_Sessions,Avg_Player_Load_Per_Min,High_Speed_Distance_Total,Season_Max_Velocity,Total_High_Decels,Total_High_Accels,weight,height,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,transfer
Player64,187998.7,19742.28,126,47,3.415106382978723,1637.15,19.87,52,238,190,73,1,QB,Phoenix,AZ,USA,33.4484367,-112.0741417,0
Player65,183789.43,20230.42,2078,60,2.7918333333333334,25.87,15.13,3,0,308,78,1,OL,Glendale,AZ,USA,33.5386858,-112.1859941,0
Player66,283195.09,27017.67,205,62,3.5870161290322584,1190.04,19.76,108,189,231,72,4,LB,Mansfield,TX,USA,32.5631924,-97.1416768,0
Player67,256123.92,28631.75,1965,63,3.7296825396825395,945.49,19.43,107,80,270,75,1,DL,Santa Barbara,CA,USA,34.4221319,-119.7026673,0
Player68,304495.84,28517.9,454,63,3.7285714285714286,2338.76,22.47,367,677,181,71,4,DB,Oakland,CA,USA,37.8044557,-122.2713563,0
Player69,149048.44,15907.84,1892,56,2.3189285714285712,1.22,15.34,0,2,325,77,3,OL,Simi Valley,CA,USA,34.2694474,-118.781482,1
Player70,170596.98,17745.739999999998,446,44,3.4160227272727273,869.76,19.91,96,120,213,73,1,LB,San Antonio,TX,USA,29.4246002,-98.4951405,0
Player71,240962.65,28041.46,108,63,3.656111111111111,407.14,19.67,12,145,186,70,3,QB,Huntington Beach,CA,USA,33.6783336,-118.0000166,0
Player72,113128.91,14706.23,1291,31,3.8977419354838707,874.88,19.1,19,26,265,79,1,DL,Austin,TX,USA,30.2711286,-97.7436995,0
Player73,264309.04,26470.94,437,60,3.6443333333333334,1997.98,20.9,166,456,195,70,3,RB,Garden Grove,CA,USA,33.7746292,-117.9463717,0
Player74,279777.69,22933.96,923,63,2.988253968253968,2272.99,21.15,203,495,200,75,1,DB,Sioux City,IA,USA,42.4966815,-96.4058782,0
Player75,205049.03,21791.44,471,49,3.667448979591837,1342.4,21.51,169,598,212,76,3,WR,San Diego,CA,USA,32.7174209,-117.1627714,1
Player76,240096.39,21511.93,1056,57,3.1812280701754387,1670.08,20.72,183,222,233,74,4,LB,Prosper,TX,USA,33.2385763,-96.7866058,0
Player77,285654.54,29768.51,1291,62,3.9132258064516128,636.29,20,311,149,231,75,4,TE,Visalia,CA,USA,36.3302284,-119.2920585,0
Player78,237948.29,25654.6,214,63,3.3635714285714284,978.14,19.53,14,176,176,71,1,QB,Dallas,TX,USA,32.7762719,-96.7968559,0
Player79,308931.28,29285.71,1173,61,3.9690163934426232,1474.6100000000001,19.63,228,646,175,76,1,WR,Los Gatos,CA,USA,37.226611,-121.9746797,0
Player80,113438.41,10625.72,903,54,1.6369444444444443,4.07,13.42,0,1,354,74,4,OL,Anaheim,CA,USA,33.8347516,-117.911732,0
Player81,12058.56,1375.73,120,5,2.306,0,12.18,0,1,330,77,3,OL,Northridge,CA,USA,34.2345615,-118.5369316,1
Player82,162270.42,16683.48,1116,59,2.3608474576271186,3.22,16.47,0,0,316,77,3,OL,West Valley City,UT,USA,40.6905,112.0011,0
Player83,162134.71,18690.67,1843,63,2.446031746031746,112.64,17.13,5,0,356,75,1,OL,San Francisco,CA,USA,37.7790262,-122.4199061,0
Player84,252826.79,22703.65,491,63,2.978730158730159,1604.49,20.97,210,250,206,73,1,LB,Fontana,CA,USA,34.0922335,-117.435048,1
Player85,279507.47000000003,30549.98,1229,59,4.209322033898305,2268.65,22.6,247,401,185,74,1,DB,Lago Vista,TX,USA,30.4601975,-97.9883477,0
Player86,243979.73,25716.84,1028,59,3.6039830508474573,1561.31,20.54,204,247,197,72,1,DB,Puna,HI,USA,19.4771565,-154.8892445,0
Player87,320590.52,36741.26,1456,63,4.755079365079365,1571.82,19.51,148,254,231,74,3,LB,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player88,187966.02,19175.69,1540,56,2.851785714285714,935.04,18.1,62,30,310,76,4,DL,Las Vegas,NV,USA,36.1672559,-115.1485163,0
Player89,104585.64,13028.24,950,28,4.154642857142857,152.39,19.37,51,72,259,77,4,DL,Mesa,AZ,USA,33.4151117,-111.8314773,0
Player90,321346.67,28387.94,545,62,3.741612903225806,1609.51,21.33,408,677,213,76,2,WR,Chandler,AZ,USA,33.3062223,-111.8413317,0
Player91,216248.87,21249.73,400,52,3.479230769230769,774.84,21.19,205,369,195,74,4,DB,Litchfield Park,AZ,USA,33.4933796,-112.3581244,0
Player92,136822.93,12551.97,1223,46,2.2145652173913044,37.15,15.32,7,1,291,80,4,OL,Bethesda,MD,USA,38.9819845,-77.12423413,0
Player93,181851.28,17240.18,1381,57,2.4792105263157893,7.359999999999999,15.38,1,0,314,78,4,OL,Calellen,TX,USA,27.8559,97.6301,0
Player94,209094.32,20804.17,402,49,3.5351020408163265,400.63,19.71,63,43,236,74,2,TE,Tucson,AZ,USA,32.2228765,-110.9748477,0
Player95,76336.69,5896.65,328,14,3.3850000000000002,71.75,20.12,105,73,244,79,3,TE,Phoenix,AZ,USA,33.4484367,-112.0741417,0
Player96,241959.82,24567.59,254,63,3.2124603174603172,921.66,20.41,92,254,203,70,1,RB,Houston,TX,USA,29.7589382,-95.3676974,0
Player97,80249.95,7062.12,570,29,2.0382758620689656,374.76,17.63,25,1,389,78,2,DL,Gold Coast,QLD,Australia,27.8559,97.6301,0
